brand,name,price,product_ID
MAKE UP FOR EVER,Ultra HD Invisible Cover Cream Foundation Palette,$110.00,P440956
DERMADOCTOR,DD Cream Dermatologically Defining BB Cream Broad Spectrum SPF 30,$40.00,P381802
MAKE UP FOR EVER,Chromatic Mix – Oil Base,$14.00 $7.00,P400725
CLINIQUE,Superbalanced Silk Makeup Broad Spectrum 15,$28.50,P411552
DR. JART+,Black Label Detox BB Beauty Balm,$36.00,P374568
LANCÔME,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,$47.00,P380690
ANTONYM,Skin Esteem Organic Liquid Foundation,$52.00,P425621
PRETTY VULGAR,Bird's Nest Blurring Beauty Mousse Foundation,$36.00,P419268
BLACK UP,Matifying Fluid Foundation,$41.50 $20.75,P400888
CLINIQUE,Age Defense BB Cream Broad Spectrum SPF 30,$39.50,P293010
ESTÉE LAUDER,Double Wear Nude Cushion Stick Radiant Foundation,$42.00,P410666
MAKE UP FOR EVER,Chromatic Mix – Water Base,$14.00,P397683
BENEFIT COSMETICS,’Hello Flawless!’ Powder Foundation,$34.00,P231510
ANTONYM,Certified Organic Baked Foundation,$38.00,P421435
URBAN DECAY,Naked Skin Ultra Definition Pressed Finishing Powder,$34.00,P381170
